Event,Campaign,Station,Type,"Date/Time (GPS Navigator, Koden, KGP-920)","Longitude (GPS Navigator, Koden, KGP-920)","Latitude (GPS Navigator, Koden, KGP-920)","Elevation [m a.s.l.] (Echosounder, Elac-Nautik, Hyd...)","Depth water [m] (CTD, Sea-Bird, SBE 25plus; ca...)","Temp [°C] (CTD, Sea-Bird, SBE 25plus; ca...)","Sal (PSU, CTD, Sea-Bird, SBE 25plu...)","Sigma-theta [kg/m**3] (CTD, Sea-Bird, SBE 25plus; ca...)","DO [mg/l] (CTD, Sea-Bird, SBE 25plus; me...)","DO [%] (CTD, Sea-Bird, SBE 25plus; me...)","Fluorescence [mg/m**3] (CTD, Sea-Bird, SBE 25plus; me...)","Turbidity [NTU] (CTD, Sea-Bird, SBE 25plus; me...)","PAR (CTD, Sea-Bird, SBE 25plus; me...)","Press [dbar] (CTD, Sea-Bird, SBE 25plus; ca...)","Cond [mS/cm] (CTD, Sea-Bird, SBE 25plus; me...)","pH (determined in laboratory, pH ...)","Temp [°C] (determined in laboratory, pH ...)","Eh [mV] (determined in laboratory, Red...)",z(SD) [m] (Secchi disc),"[PO4]3- [µmol/l] (determined in laboratory, Aut...)","TP [µmol/l] (determined in laboratory, Aut...)","Si(OH)4 [µmol/l] (determined in laboratory, Aut...)","[NO3]- + [NO2]- [µmol/l] (determined in laboratory, Aut...)","[NH4]+ [µmol/l] (determined in laboratory, Aut...)","TN [µmol/l] (determined in laboratory, Aut...)","Chl a [µg/l] (determined in laboratory, Aut...)","DO [mg/l] (determined in laboratory, Win...)"
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,1,23.6065,24.0472,15.4831,7.1709,97.079,0.6945,0.2037,56.839,1.008,36.8708,8.389,22.7,154.1,10.0,0.0979,0.2443,0.6536,0.05,0.5299,7.7064,1.079,7.0961
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,2,23.7519,24.1841,15.5457,7.1927,97.704,0.6776,0.2173,46.234,2.016,37.17,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,3,24.1816,25.0616,16.0852,7.2061,99.128,0.805,0.2064,38.705,3.023,38.72,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,4,24.1399,26.5514,17.2196,7.0077,97.158,1.3087,0.2361,32.676,4.031,40.7495,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,5,23.6481,27.0343,17.7234,6.9048,95.168,1.3458,0.248,27.069,5.039,41.0089,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,6,23.2643,27.3323,18.0564,6.8214,93.541,1.2643,0.2575,21.979,6.047,41.0958,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,7,22.6984,27.6091,18.4209,6.3645,86.554,1.1282,0.2679,18.087,7.055,40.9909,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,8,20.7625,28.6171,19.7055,6.2614,82.684,1.0423,0.2854,15.104,8.062,40.672,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,9,20.664,30.7725,21.3678,5.7263,76.451,1.1851,0.2824,12.904,9.071,43.2943,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,10,18.7533,34.3759,24.6066,5.3249,70.102,0.7086,0.203,10.929,10.078,45.9146,8.155,19.5,157.2,,0.2928,0.3105,6.4087,0.19,0.041,4.0062,0.241,4.9558
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,11,17.9113,35.7516,25.8699,5.1147,66.824,0.6655,0.193,9.1367,11.086,46.6909,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,12,17.427,36.6622,26.6872,4.8799,63.522,1.0373,0.2151,7.8494,12.094,47.2428,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,13,17.1205,37.2045,27.1783,4.8481,62.948,1.2563,0.2392,6.815,13.102,47.5422,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,14,16.9133,37.671,27.587,4.8426,62.804,1.0934,0.2126,5.8742,14.11,47.8531,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,15,16.8487,38.0678,27.9078,4.7026,61.061,0.607,0.1639,5.0608,15.117,48.2324,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,16,16.7976,38.4172,28.189,4.6497,60.443,0.4798,0.1516,4.4086,16.125,48.5711,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,17,16.7168,38.4994,28.2717,4.6458,60.329,0.6964,0.1617,3.9133,17.133,48.5766,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,18,16.5949,38.5337,28.3274,4.4551,57.731,1.2405,0.1755,3.5129,18.141,48.4837,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,19,16.4109,38.5692,28.3989,4.2496,54.885,1.4666,0.1862,3.124,19.149,48.325,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,20,16.4244,38.6174,28.4328,4.1006,52.989,1.3014,0.1703,2.741,20.157,48.3936,8.096,18.4,155.2,,0.4415,0.4666,8.7811,1.5,0.404,6.0465,1.344,4.0369
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,21,16.4734,38.6839,28.4722,3.8594,49.94,1.0753,0.1637,2.3937,21.165,48.5213,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,22,16.3484,38.7011,28.5154,3.4762,44.88,0.9381,0.1562,2.0975,22.173,48.4055,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,23,16.2852,38.6996,28.5292,3.2565,41.991,0.8562,0.1479,1.851,23.181,48.336,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,24,16.2725,38.6985,28.5315,3.1706,40.872,0.8545,0.1452,1.6566,24.188,48.3215,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,25,16.2633,38.6987,28.5338,3.0446,39.24,0.816,0.1414,1.4888,25.197,48.3121,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,26,16.2178,38.7097,28.5531,2.7013,34.789,0.7373,0.1399,1.3263,26.204,48.2757,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,27,16.1801,38.7209,28.5705,2.4174,31.111,0.6767,0.1401,1.1997,27.212,48.2477,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,28,16.1606,38.728,28.5808,2.235,28.755,0.608,0.1466,1.0923,28.22,48.235,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,29,16.1362,38.7353,28.5922,2.1352,27.459,0.5561,0.1538,0.9943,29.228,48.2172,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,30,16.1242,38.7444,28.602,2.0672,26.58,0.5174,0.1516,0.9027,30.236,48.2147,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,31,16.1173,38.7469,28.6055,2.0459,26.303,0.5079,0.1651,0.815,31.244,48.2104,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,32,16.1113,38.7526,28.6113,2.1257,27.326,0.4788,0.1486,0.741,32.252,48.2108,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,33,16.1275,38.7711,28.6217,2.3709,30.492,0.3889,0.1467,0.6744,33.26,48.2492,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,34,16.1099,38.7825,28.6347,2.5041,32.195,0.3422,0.1415,0.6167,34.268,48.2432,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,35,16.0726,38.7844,28.645,2.5075,32.217,0.3089,0.1308,0.5657,35.276,48.2055,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,36,16.0599,38.7898,28.6521,2.5076,32.212,0.2706,0.1206,0.5176,36.284,48.1981,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,37,16.0354,38.791,28.6589,2.344,30.095,0.259,0.1247,0.4765,37.292,48.1734,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,38,15.9997,38.7944,28.6699,2.131,27.342,0.2446,0.127,0.4403,38.3,48.139,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,39,15.9765,38.7975,28.6777,2.0058,25.724,0.2222,0.1337,0.4071,39.308,48.1177,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,40,15.9665,38.7999,28.6819,1.9526,25.038,0.2121,0.1398,0.3757,40.316,48.1101,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,41,15.951,38.8037,28.6885,1.8674,23.939,0.2135,0.1484,0.3415,41.324,48.0979,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,42,15.9061,38.8079,28.7023,1.7162,21.982,0.2126,0.1649,0.3152,42.332,48.0545,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,43,15.8672,38.8128,28.7152,1.6464,21.073,0.1982,0.168,0.2903,43.34,48.0183,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,44,15.8416,38.819,28.726,1.6512,21.124,0.1747,0.1495,0.2623,44.348,47.9978,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,45,15.8301,38.8224,28.7313,1.677,21.45,0.1567,0.1361,0.2303,45.356,47.9896,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,46,15.8123,38.823,28.7359,1.6742,21.407,0.1579,0.1486,0.1745,46.364,47.9715,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,47,15.8061,38.8235,28.7378,1.6844,21.535,0.1503,0.146,0.1419,47.372,47.9659,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,48,15.7908,38.8275,28.7444,1.8442,23.571,0.1446,0.1345,0.1209,48.38,47.9541,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,49,15.8057,38.838,28.749,2.1516,27.51,0.1426,0.1287,0.1112,49.388,47.9823,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,50,15.804,38.8396,28.7507,2.1577,27.588,0.1323,0.1371,0.104,50.396,47.9827,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,51,15.7674,38.8369,28.7571,1.9798,25.295,0.1112,0.1403,0.1036,51.404,47.9405,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,52,15.7457,38.835,28.7608,1.8478,23.599,0.1,0.1419,0.1037,52.412,47.9155,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,53,15.7294,38.8328,28.7628,1.7547,22.402,0.0872,0.1433,0.1037,53.42,47.8959,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,54,15.724,38.832,28.7635,1.7228,21.992,0.0868,0.1517,0.1037,54.428,47.8897,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,55,15.7136,38.8329,28.7666,1.723,21.99,0.0867,0.1526,0.1037,55.436,47.88,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,56,15.702,38.834,28.7702,1.7165,21.903,0.0828,0.1574,0.1037,56.444,47.8691,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,57,15.69,38.8338,28.7728,1.6809,21.443,0.0822,0.1618,0.1037,57.453,47.8564,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,58,15.6836,38.8344,28.7747,1.7447,22.254,0.0772,0.1576,0.1037,58.46,47.8506,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,59,15.6921,38.8392,28.7765,1.8507,23.61,0.0761,0.1519,0.1037,59.468,47.8655,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,60,15.6805,38.8383,28.7785,1.7603,22.453,0.067,0.1476,0.1037,60.477,47.8524,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,61,15.6524,38.8347,28.7822,1.5865,20.225,0.0561,0.1508,0.1037,61.485,47.8187,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,62,15.6384,38.832,28.7834,1.5399,19.625,0.0408,0.1566,0.1037,62.493,47.8011,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,63,15.643,38.8351,28.7848,1.6408,20.913,0.045,0.1535,0.1037,63.501,47.8099,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,64,15.6464,38.8373,28.7856,1.7055,21.739,0.0537,0.1551,0.1037,64.51,47.8164,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,65,15.6434,38.8378,28.7868,1.7502,22.307,0.041,0.1553,0.1037,65.517,47.8143,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,66,15.6502,38.8414,28.7879,1.8317,23.349,0.0441,0.1632,0.1037,66.526,47.826,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,67,15.6492,38.8416,28.7884,1.8134,23.117,0.0465,0.1691,0.1044,67.534,47.8256,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,68,15.6297,38.839,28.7908,1.7061,21.741,0.0473,0.1788,0.1057,68.541,47.8021,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,69,15.6106,38.8342,28.7916,1.5668,19.958,0.0355,0.187,0.1061,69.55,47.7768,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,70,15.5832,38.831,28.7954,1.4463,18.412,0.0365,0.1925,0.106,70.558,47.7441,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,71,15.5637,38.8288,28.7983,1.3588,17.292,0.0557,0.1884,0.1061,71.566,47.7211,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,72,15.5485,38.8276,28.8009,1.3129,16.702,0.0495,0.1999,0.1062,72.574,47.7039,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,73,15.5438,38.8239,28.7991,1.2935,16.452,0.0362,0.2012,0.1062,73.582,47.6952,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,74,15.5369,38.8271,28.8031,1.3115,16.681,0.0391,0.1837,0.1062,74.59,47.6918,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,75,15.5392,38.8305,28.8052,1.4184,18.041,0.0422,0.1739,0.1062,75.599,47.6985,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,76,15.542,38.8325,28.8062,1.477,18.789,0.0537,0.1722,0.1062,76.607,47.7041,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,77,15.5365,38.8323,28.8073,1.4743,18.751,0.0453,0.1805,0.1062,77.615,47.6985,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,78,15.5335,38.8316,28.8074,1.4375,18.283,0.0368,0.1939,0.1063,78.623,47.695,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,79,15.5155,38.8294,28.8099,1.3426,17.07,0.0433,0.1969,0.1063,79.632,47.6736,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,80,15.4982,38.827,28.812,1.2719,16.165,0.0418,0.1919,0.1063,80.64,47.6528,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,81,15.4966,38.8264,28.812,1.2473,15.851,0.0415,0.1919,0.1063,81.648,47.651,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,82,15.4912,38.8253,28.8124,1.2175,15.471,0.0457,0.1934,0.1063,82.656,47.6444,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,83,15.4763,38.8246,28.8152,1.1885,15.097,0.0494,0.1942,0.1063,83.664,47.628,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,84,15.473,38.8242,28.8157,1.1842,15.042,0.0512,0.1993,0.1063,84.672,47.6245,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,85,15.4682,38.8241,28.8168,1.186,15.064,0.0462,0.1946,0.1063,85.681,47.6197,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,86,15.4661,38.8239,28.8171,1.1844,15.042,0.045,0.2047,0.1063,86.689,47.6176,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,87,15.4652,38.8239,28.8173,1.1936,15.16,0.041,0.2085,0.1063,87.697,47.6173,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,88,15.4621,38.8244,28.8184,1.2137,15.414,0.0353,0.1881,0.1063,88.705,47.6149,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,89,15.4612,38.8246,28.8187,1.2322,15.649,0.0395,0.1845,0.1062,89.713,47.6145,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,90,15.4596,38.8255,28.8198,1.2949,16.444,0.0332,0.1856,0.1062,90.722,47.6143,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,91,15.4536,38.8272,28.8225,1.3767,17.481,0.0269,0.1554,0.1063,91.73,47.6102,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,92,15.4445,38.8286,28.8256,1.441,18.294,0.0283,0.1471,0.1064,92.739,47.6023,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,93,15.4398,38.8284,28.8266,1.457,18.496,0.0372,0.1627,0.1064,93.746,47.5976,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,94,15.4362,38.8278,28.827,1.449,18.393,0.0311,0.1456,0.1065,94.755,47.5935,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,95,15.4356,38.8278,28.8271,1.445,18.343,0.0226,0.1318,0.1065,95.763,47.5933,,,,,,,,,,,,
2025-09_ASTRA_01_39,2025-09_ASTRA,01_39,C,2025-09-06T06:19:00,29.0376,40.835201,-100,96,15.4199,38.8283,28.8311,1.4163,17.973,0.0311,0.1374,0.1065,96.771,47.5774,,,,,,,,,,,,
2025-09_ASTRA_02_38,2025-09_ASTRA,02_38,C,2025-09-06T09:10:00,28.9382,40.9403,-64,1,24.1426,25.7625,16.6245,7.1667,98.917,0.9572,0.2095,144.29,1.008,39.6603,8.345,23.4,159.3,10.0,0.0316,0.2171,0.1075,0.05,0.1606,4.8418,0.628,7.0814
2025-09_ASTRA_02_38,2025-09_ASTRA,02_38,C,2025-09-06T09:10:00,28.9382,40.9403,-64,2,24.2584,26.2359,16.9481,7.2424,100.438,1.1619,0.2283,113.48,2.015,40.4101,,,,,,,,,,,,
2025-09_ASTRA_02_38,2025-09_ASTRA,02_38,C,2025-09-06T09:10:00,28.9382,40.9403,-64,3,24.3144,26.5183,17.1447,7.2312,100.543,1.2827,0.2372,89.366,3.023,40.8473,,,,,,,,,,,,
2025-09_ASTRA_02_38,2025-09_ASTRA,02_38,C,2025-09-06T09:10:00,28.9382,40.9403,-64,4,24.3577,26.7194,17.2837,7.1871,100.121,1.328,0.2406,71.725,4.031,41.1616,,,,,,,,,,,,
2025-09_ASTRA_02_38,2025-09_ASTRA,02_38,C,2025-09-06T09:10:00,28.9382,40.9403,-64,5,24.3776,26.8,17.3387,7.1627,99.862,1.3946,0.2452,57.675,5.039,41.29,,,,,,,,,,,,
2025-09_ASTRA_02_38,2025-09_ASTRA,02_38,C,2025-09-06T09:10:00,28.9382,40.9403,-64,6,24.3847,26.8223,17.3535,7.188,100.241,1.4213,0.2262,45.938,6.047,41.3271,,,,,,,,,,,,
2025-09_ASTRA_02_38,2025-09_ASTRA,02_38,C,2025-09-06T09:10:00,28.9382,40.9403,-64,7,24.3922,26.8306,17.3576,7.1607,99.877,1.4077,0.2236,37.642,7.055,41.3453,,,,,,,,,,,,
2025-09_ASTRA_02_38,2025-09_ASTRA,02_38,C,2025-09-06T09:10:00,28.9382,40.9403,-64,8,24.3989,26.8404,17.3631,7.1812,100.181,1.5213,0.2297,31.34,8.063,41.3647,,,,,,,,,,,,
2025-09_ASTRA_02_38,2025-09_ASTRA,02_38,C,2025-09-06T09:10:00,28.9382,40.9403,-64,9,24.3659,26.9101,17.425,7.1641,99.924,1.8257,0.261,26.254,9.071,41.4341,,,,,,,,,,,,
2025-09_ASTRA_02_38,2025-09_ASTRA,02_38,C,2025-09-06T09:10:00,28.9382,40.9403,-64,10,24.3119,27.0047,17.5119,6.453,89.966,1.729,0.2464,21.525,10.078,41.5207,8.052,19.3,158.7,,0.5976,0.6297,12.578,2.68,3.2249,7.4178,0.933,2.9811
2025-09_ASTRA_02_38,2025-09_ASTRA,02_38,C,2025-09-06T09:10:00,28.9382,40.9403,-64,11,20.8771,31.9849,22.2263,3.9543,53.358,1.4169,0.2657,17.835,11.086,44.8837,,,,,,,,,,,,
2025-09_ASTRA_02_38,2025-09_ASTRA,02_38,C,2025-09-06T09:10:00,28.9382,40.9403,-64,12,17.197,37.477,27.3717,3.4981,45.521,1.0483,0.2784,14.897,12.094,48.0009,,,,,,,,,,,,
2025-09_ASTRA_02_38,2025-09_ASTRA,02_38,C,2025-09-06T09:10:00,28.9382,40.9403,-64,13,17.1511,37.4848,27.3863,3.3797,43.982,0.9106,0.2704,12.633,13.102,47.8933,,,,,,,,,,,,
